Seed_ID,timestamp,Soil humidity 1,Irrigation field 1,Soil humidity 2,Irrigation field 2,Soil humidity 3,Irrigation field 3,Soil humidity 4,Irrigation field 4,Air temperature (C),Air humidity (%),Pressure (KPa),Wind speed (Km/h),Wind gust (Km/h),Wind direction (Deg),Soil_nutrient_levels,Place,Region,Average_Rainfall,Soil_Moisture,Seedling_growth_rate,Seed_viability,Seed_germination_rate,Soil_texture
17,2/23/2019 1:20,67.49,0,56,0,-0.83,1,26.74,1,20.61,40.34,101.48,4.74,23.04,225,94109,JAIPUR,RAJASTHAN,358,375,324,39,38,20
18,2/23/2019 1:25,67.46,0,56,0,-0.78,1,26.75,1,20.81,38.96,101.48,5.58,27.91,225,94103,NEW DELHI,DELHI,326,360,422,40,38,44
19,2/23/2019 1:30,67.43,0,56,0,-0.73,1,26.76,1,20.93,37.33,101.48,5.74,26.29,225,94110,Gurgaon,HARYANA,289,329,422,41,38,29
20,2/23/2019 1:35,67.41,0,56,0,-0.69,1,26.77,1,21.06,35.69,101.48,5.89,24.67,225,94108,BENGALURU,KARNATAKA,303,320,389,42,38,40
21,2/23/2019 1:40,67.38,0,56,0,-0.64,1,26.78,1,21.18,34.06,101.47,6.04,23.05,225,94103,TIRUCHIRAPPALLI,TAMIL NADU,320,331,584,43,38,30
22,2/23/2019 1:45,67.35,0,56,0,-0.6,1,26.79,1,21.3,32.42,101.47,6.2,21.43,225,94107,BENGALURU,KARNATAKA,327,336,422,44,38,14
23,2/23/2019 1:50,67.32,0,56,0,-0.55,1,26.8,1,21.35,31.07,101.46,6.06,21.84,225,94080,HYDERABAD,TELANGANA,348,353,422,45,38,31
24,2/23/2019 1:55,67.3,0,56,0,-0.5,1,26.81,1,21.4,29.72,101.46,5.93,22.26,225,94588,pune,MAHARASHTRA,353,365,422,46,38,27
25,2/23/2019 2:00,67.27,0,56,0,-0.46,1,26.83,1,21.44,28.38,101.46,5.8,22.67,225,94133,TEZPUR,ASSAM,356,361,454,47,38,66
26,2/23/2019 2:05,67.24,0,56,0,-0.41,1,26.84,1,21.49,27.03,101.45,5.66,23.08,225,94108,RANCHI,JHARKHAND,356,363,454,48,38,24
27,2/23/2019 2:10,67.22,0,56,0,-0.37,1,26.85,1,21.56,26.62,101.44,7.11,36.03,225,94111,BILASPUR,CHHATTISGARH,369,378,519,49,38,19
28,2/23/2019 2:15,67.19,0,56,0,-0.32,1,26.86,1,21.62,26.22,101.43,8.56,48.98,225,94103,PUNE,MAHARASHTRA,391,392,487,50,38,36
29,2/23/2019 2:20,67.16,0,56,0,-0.28,1,26.87,1,21.66,25.72,101.42,8.89,48.02,225,94103,BENGALURU,KARNATAKA,389,401,454,51,38,21
30,2/23/2019 2:25,67.14,0,56,0,-0.23,1,26.88,1,21.69,25.21,101.41,9.21,47.06,225,94104,GUWAHATI,ASSAM,373,395,454,52,38,18
31,2/23/2019 2:30,67.11,0,56,0,-0.18,1,26.89,1,21.48,25.8,101.4,8.76,46.17,225,94107,THIRUVARUR,TAMIL NADU,375,383,454,53,38,26
32,2/23/2019 2:35,67.08,0,56,0,-0.14,1,26.9,1,21.28,26.39,101.4,8.32,45.28,225,94102,LUCKNOW,UTTAR PRADESH,379,384,531,54,38,19
33,2/23/2019 2:40,67.05,0,56,0,-0.09,1,26.91,1,21.3,25.53,101.39,8.61,46.64,225,94063,VISAKHAPATNAM,ANDHRA PRADESH,386,391,422,55,37,48
34,2/23/2019 2:45,67.03,0,56,0,-0.05,1,26.92,1,21.32,24.67,101.38,8.9,48,225,94105,JEYPUR,ODISHA,378,389,422,56,38,23
35,2/23/2019 2:50,67,0,56,0,0,1,26.93,1,21.28,24.32,101.38,8.22,45.43,225,94403,HYDERABAD,TELANGANA,381,382,357,57,38,24
36,2/23/2019 2:55,66.97,0,56,0,-0.07,0,26.94,1,21.24,23.96,101.37,7.53,42.86,225,94111,LUCKNOW,UTTAR PRADESH,382,386,357,58,38,19
37,2/23/2019 3:00,66.94,0,56,0,-0.14,0,26.95,1,21.2,23.81,101.36,7.7,42.14,225,94107,CHENNAI,TAMIL NADU,356,383,487,59,38,24
38,2/23/2019 3:05,66.92,0,56,0,-0.21,0,26.96,1,21.16,23.66,101.36,7.87,41.43,225,94104,NEW DELHI,DELHI,353,359,487,60,38,27
39,2/23/2019 3:10,66.89,0,56,0,-0.27,0,26.97,1,21.13,23.5,101.35,8.04,40.72,225,94103,NEW DELHI,DELHI,343,359,519,61,38,6
40,2/23/2019 3:15,66.86,0,56,0,-0.34,0,26.98,1,21.09,23.35,101.35,8.21,40,225,94103,THIRUVANANTHAPURAM,KERALA,344,347,422,62,38,33
41,2/23/2019 3:20,66.83,0,56,0,-0.41,0,26.99,1,21.1,23.09,101.35,8.33,41.54,247.5,94303,GREATER NOIDA,UTTAR PRADESH,350,355,422,63,37,23
42,2/23/2019 3:25,66.81,0,56,0,-0.48,0,27,1,21.11,22.84,101.34,8.46,43.08,270,94111,JABALPUR,MADHYA PRADESH,353,353,422,64,38,30
43,2/23/2019 3:30,66.78,0,56,0,-0.55,0,27.01,1,21.12,22.58,101.34,8.58,44.61,292.5,94301,MUMBAI,MAHARASHTRA,335,357,519,65,37,24
44,2/23/2019 3:35,66.75,0,56,0,-0.62,0,27.02,1,21.13,22.32,101.34,8.7,46.15,315,95054,LUCKNOW,UTTAR PRADESH,335,336,747,66,37,1
45,2/23/2019 3:40,66.72,0,56,0,-0.68,0,27.03,1,20.94,22.58,101.34,7.26,38.26,270,94107,MUMBAI,MAHARASHTRA,337,345,422,67,38,20
46,2/23/2019 3:45,66.69,0,56,0,-0.75,0,27.04,1,20.76,22.83,101.34,5.82,30.38,225,94107,KOLKATA,WEST BENGAL,321,339,454,68,38,17
47,2/23/2019 3:50,66.67,0,56,0,-0.82,0,27.06,1,20.56,23.4,101.34,5.31,27.83,247.5,94103,ONGOLE,ANDHRA PRADESH,321,326,1072,69,38,34
48,2/23/2019 3:55,66.64,0,56,0,-0.89,0,27.07,1,20.36,23.97,101.34,4.8,25.28,270,94133,SECUNDERABAD,TELANGANA,325,326,389,70,38,24
49,2/23/2019 4:00,66.61,0,56,0,-0.96,0,27.08,1,20.15,24.54,101.33,4.28,22.72,292.5,94063,HYDERABAD,TELANGANA,325,327,649,71,37,29
50,2/23/2019 4:05,66.58,0,56,0,-1.03,0,27.09,1,19.95,25.11,101.33,3.77,20.17,315,94107,KEWALPUR,UTTAR PRADESH,331,331,584,72,38,20
51,2/23/2019 4:10,66.56,0,56,0,-1.1,0,27.1,1,19.71,26.29,101.34,3.73,13.57,270,94111,CUTTACK,ODISHA,338,339,584,73,38,5
52,2/23/2019 4:15,66.53,0,56,0,-1.16,0,27.11,1,19.47,27.47,101.34,3.69,6.96,225,94108,BADLAPUR,MAHARASHTRA,342,350,584,74,38,22
53,2/23/2019 4:20,66.5,0,56,0,-1.23,0,27.12,1,19.32,27.99,101.34,3.44,9.76,270,94108,dimapur,NAGALAND,342,342,454,75,38,16
54,2/23/2019 4:25,66.47,0,56,0,-1.3,0,27.13,1,19.18,28.51,101.34,3.18,12.57,315,94107,BENGALURU,KARNATAKA,344,345,1429,76,38,7
55,2/23/2019 4:30,66.44,0,56,0,-1.37,0,27.14,1,19.21,28.64,101.34,3.87,12.88,315,95014,BENGALURU,KARNATAKA,358,362,1494,77,37,36
56,2/23/2019 4:35,66.42,0,56,0,-1.44,0,27.15,1,19.24,28.77,101.34,4.56,13.19,315,10010,WARANGAL,TELANGANA,364,366,1202,78,41,26
57,2/23/2019 4:40,66.39,0,56,0,-1.51,0,27.16,1,19.17,29.56,101.34,4.86,15.48,270,94110,DHAULPUR,RAJASTHAN,368,368,389,79,38,40
58,2/23/2019 4:45,66.36,0,56,0,-1.58,0,27.17,1,19.1,30.36,101.33,5.16,17.78,225,94107,GUWAHATI,ASSAM,401,427,454,80,38,29
59,2/23/2019 4:50,66.33,0,56,0,-1.64,0,27.18,1,19.02,31.01,101.33,4.45,17.78,270,94102,Bengaluru,KARNATAKA,385,418,422,81,38,2
60,2/23/2019 4:55,66.31,0,56,0,-1.71,0,27.19,1,18.93,31.66,101.33,3.74,17.78,315,94107,HYDERABAD,TELANGANA,371,400,422,82,38,23
61,2/23/2019 5:00,66.28,0,56,0,-1.78,0,27.2,1,18.74,31.96,101.33,3.55,13.49,270,94404,BENGALURU,KARNATAKA,375,375,422,83,38,0
62,2/23/2019 5:05,66.25,0,56,0,-1.85,0,27.21,1,18.55,32.25,101.33,3.35,9.2,225,94401,NAGPUR,MAHARASHTRA,378,388,552,84,38,30
63,2/23/2019 5:10,66.22,0,56,0,-1.92,0,27.22,1,18.63,31.86,101.33,4.05,10.32,225,94608,NAGPUR,MAHARASHTRA,371,388,942,85,38,56
64,2/23/2019 5:15,66.19,0,56,0,-1.99,0,27.23,1,18.71,31.47,101.33,4.75,11.43,225,94103,GREATER NOIDA,UTTAR PRADESH,374,374,487,86,38,36
65,2/23/2019 5:20,66.17,0,56,0,-2.05,0,27.24,1,18.87,30.63,101.34,4.7,14.41,270,94607,THANE,MAHARASHTRA,357,380,292,87,38,56
66,2/23/2019 5:25,66.14,0,56,0,-2.12,0,27.25,1,19.03,29.79,101.34,4.64,17.39,315,94538,Dahod,Gujarat,344,358,357,88,37,19
67,2/23/2019 5:30,66.11,0,56,0,-2.19,0,27.26,1,19.02,29.64,101.34,4.39,19.8,270,94107,RANCHI,JHARKHAND,351,352,357,89,38,39
68,2/23/2019 5:35,66.08,0,56,0,-2.26,0,27.28,1,19,29.5,101.35,4.14,22.22,225,94903,PUNE,MAHARASHTRA,353,353,357,90,38,38
69,2/23/2019 5:40,66.06,0,56,0,-2.33,0,27.29,1,19.04,29.16,101.35,4.35,23.32,225,0,BENGALURU,KARNATAKA,367,367,292,91,38,24
70,2/23/2019 5:45,66.03,0,56,0,-2.4,0,27.3,1,19.07,28.81,101.35,4.57,24.43,225,94063,VIJAPURA,KARNATAKA,375,377,292,92,37,35
71,2/23/2019 5:50,66,0,56,0,-2.47,0,27.31,1,19.11,28.47,101.35,4.78,25.53,225,94588,CHENNAI,TAMIL NADU,366,376,292,93,38,26
72,2/23/2019 5:55,65.97,0,56,0,-2.53,0,27.32,1,19.11,28.2,101.35,4.28,22.9,247.5,94108,MUMBAI,MAHARASHTRA,368,371,292,94,38,31
73,2/23/2019 6:00,65.94,0,56,0,-2.6,0,27.33,1,19.1,27.92,101.36,3.78,20.26,270,94107,bangalore,KARNATAKA,358,369,292,95,38,38
74,2/23/2019 6:05,65.92,0,56,0,-2.67,0,27.34,1,19.1,27.65,101.36,3.28,17.63,292.5,94612,BENGALURU,KARNATAKA,372,376,519,96,38,27
75,2/23/2019 6:10,65.89,0,56,0,-2.74,0,27.35,1,19.1,27.38,101.37,2.78,15,315,94103,BERHAMPUR,ODISHA,373,376,1072,97,38,30
76,2/23/2019 6:15,65.86,0,56,0,-2.81,0,27.36,1,18.87,27.66,101.37,2.01,11.76,315,95008,HYDERABAD,TELANGANA,377,378,1072,98,37,22
77,2/23/2019 6:20,65.83,0,56,0,-2.88,0,27.37,1,18.64,27.93,101.37,1.25,8.51,315,94103,PUNE,MAHARASHTRA,378,379,1072,99,38,29
78,2/23/2019 6:25,65.81,0,56,0,-2.95,0,27.38,1,18.48,28.11,101.36,1.41,9.76,315,94612,TEZPUR,ASSAM,374,382,1072,100,38,0
79,2/23/2019 6:30,65.78,0,56,0,-3.01,0,27.39,1,18.31,28.29,101.36,1.57,11.01,315,94612,HIMMATNAGAR,Gujarat,368,376,1072,101,38,8
80,2/23/2019 6:35,65.75,0,56,0,-3.08,0,27.4,1,18.46,27.32,101.36,1.6,9.73,303.75,94102,Kolkata,WEST BENGAL,366,369,1072,102,38,3
81,2/23/2019 6:40,65.72,0,56,0,-3.15,0,27.41,1,18.62,26.36,101.37,1.62,8.45,292.5,94403,Kolkata,WEST BENGAL,371,377,1072,103,38,27
82,2/23/2019 6:45,65.69,0,56,0,-3.22,0,27.42,1,18.72,25.4,101.38,2.07,12.74,292.5,10010,Kolkata,WEST BENGAL,373,375,1169,104,41,9
83,2/23/2019 6:50,65.67,0,56,0,-3.29,0,27.43,1,18.81,24.45,101.38,2.52,17.02,292.5,94103,HYDERABAD,TELANGANA,362,375,1169,105,38,29
84,2/23/2019 6:55,65.64,0,56,0,-3.36,0,27.44,1,19.04,23.14,101.38,2.4,16.62,292.5,94063,DEHRADUN,UTTARAKHAND,345,362,1169,106,37,18
85,2/23/2019 7:00,65.61,0,56,0,-3.42,0,27.45,1,19.27,21.83,101.39,2.27,16.22,292.5,0,HYDERABAD,TELANGANA,346,352,1169,107,38,22
86,2/23/2019 7:05,65.58,0,56,0,-3.49,0,27.46,1,19.36,21.06,101.4,2.78,17.78,303.75,94111,KOLKATA,WEST BENGAL,339,344,1169,108,38,24
87,2/23/2019 7:10,65.56,0,56,0,-3.56,0,27.47,1,19.45,20.29,101.41,3.29,19.35,315,94105,DHARMAPURI,TAMIL NADU,349,351,1169,109,38,25
88,2/23/2019 7:15,65.53,0,56,0,-3.63,0,27.48,1,19.42,20.58,101.42,3.01,15.58,315,654,DEHRADUN,UTTARAKHAND,347,352,1169,110,38,36
89,2/23/2019 7:20,65.5,0,56,0,-3.7,0,27.49,1,19.38,20.88,101.43,2.73,11.82,315,94612,JAIPUR,RAJASTHAN,345,347,1104,111,38,14
90,2/23/2019 7:25,65.47,0,55.92,0,-3.77,0,27.51,1,19.33,21.33,101.44,2.82,12.31,315,94105,VADODARA,Gujarat,345,351,1104,112,38,24
91,2/23/2019 7:30,65.44,0,55.85,0,-3.84,0,27.52,1,19.28,21.78,101.44,2.9,12.8,315,94104,CHAVAKKAD,KERALA,327,346,1494,113,38,26
92,2/23/2019 7:35,65.42,0,55.77,0,-3.9,0,27.53,1,19.24,22.22,101.44,2.98,13.3,315,94105,PATNA,BIHAR,315,327,1494,114,38,29
93,2/23/2019 7:40,65.39,0,55.69,0,-3.97,0,27.54,1,19.19,22.67,101.45,3.07,13.79,315,94588,CHENNAI,TAMIL NADU,304,320,1494,115,38,40
94,2/23/2019 7:45,65.36,0,55.62,0,-4.04,0,27.55,1,19.26,22.7,101.46,3,14.9,315,94108,VADODARA,Gujarat,307,311,1494,116,38,36
95,2/23/2019 7:50,65.33,0,55.54,0,-4.11,0,27.56,1,19.32,22.74,101.46,2.92,16,315,94104,VADODARA,Gujarat,316,318,1494,117,38,46
96,2/23/2019 7:55,65.31,0,55.46,0,-4.18,0,27.57,1,19.6,22.42,101.46,3.24,16.63,315,94104,PUNE,MAHARASHTRA,319,330,1494,118,38,42
97,2/23/2019 8:00,65.28,0,55.38,0,-4.25,0,27.58,1,19.89,22.11,101.46,3.57,17.27,315,94107,Jammu,JAMMU & KASHMIR,320,321,1494,119,38,23
98,2/23/2019 8:05,65.25,0,55.31,0,-4.32,0,27.59,1,20.28,22.04,101.46,3.55,17.8,315,94085,bangalore,KARNATAKA,330,332,1494,120,37,19
99,2/23/2019 8:10,65.22,0,55.23,0,-4.38,0,27.6,1,20.68,21.97,101.47,3.53,18.32,315,94103,NEW DELHI,DELHI,321,334,1494,121,38,25
100,2/23/2019 8:15,65.19,0,55.15,0,-4.45,0,27.61,1,21.21,21.44,101.48,3.66,18.76,315,94043,NARNAUND,HARYANA,317,322,1494,122,37,22
101,2/23/2019 8:20,65.17,0,55.08,0,-4.52,0,27.62,1,21.74,20.9,101.49,3.78,19.2,315,94063,Ahmedabad,Gujarat,317,319,1494,123,37,35
102,2/23/2019 8:25,65.14,0,55,0,-4.59,0,27.63,1,22.44,20.58,101.49,3.43,18.24,315,94104,NEW DELHI,DELHI,313,328,1494,124,38,39
103,2/23/2019 8:30,65.11,0,54.92,0,-4.66,0,27.64,1,23.13,20.27,101.49,3.08,17.27,315,94103,AMBARNATH,MAHARASHTRA,311,316,1494,125,38,42
104,2/23/2019 8:35,65.08,0,54.85,0,-4.73,0,27.65,1,23.76,19.5,101.49,3.42,18.94,315,94063,GWALIOR,MADHYA PRADESH,312,318,1494,126,37,35
105,2/23/2019 8:40,65.06,0,54.77,0,-4.79,0,27.66,1,24.4,18.73,101.5,3.77,20.6,315,987,NEW DELHI,DELHI,309,313,454,127,38,29
106,2/23/2019 8:45,65.03,0,54.69,0,-4.86,0,27.67,1,25.04,17.96,101.5,4.12,22.27,315,94103,ROHTAK,HARYANA,310,311,454,128,38,20
107,2/23/2019 8:50,65,0,54.62,0,-4.93,0,27.68,1,25.67,17.2,101.51,4.46,23.94,315,94107,ROHTAK,HARYANA,314,320,454,129,38,25
108,2/23/2019 8:55,64.97,0,54.54,0,-5,0,27.69,1,26.3,16.43,101.52,4.81,25.6,315,94063,ROHTAK,HARYANA,314,314,454,130,38,36
109,2/23/2019 9:00,64.94,0,54.46,0,-5.14,0,27.7,1,26.94,15.66,101.52,5.15,27.27,315,94105,Kolkata,WEST BENGAL,281,315,454,131,38,39
110,2/23/2019 9:05,64.92,0,54.38,0,-5.27,0,27.71,1,27.38,14.2,101.52,6.86,33.98,315,94104,MUMBAI,MAHARASHTRA,258,281,454,132,38,23
111,2/23/2019 9:10,64.89,0,54.31,0,-5.41,0,27.72,1,27.83,12.75,101.52,8.57,40.68,315,94107,NEW DELHI,DELHI,265,265,454,133,38,19
112,2/23/2019 9:15,64.86,0,54.23,0,-5.55,0,27.74,1,28.14,12.24,101.52,8.46,35.16,315,94107,HYDERABAD,TELANGANA,273,275,487,134,38,50
113,2/23/2019 9:20,64.83,0,54.15,0,-5.68,0,27.75,1,28.46,11.74,101.53,8.36,29.63,315,94111,HYDERABAD,TELANGANA,283,286,487,135,38,41
114,2/23/2019 9:25,64.81,0,54.08,0,-5.82,0,27.76,1,28.94,11.29,101.54,8.43,28.77,315,94105,PATNA,BIHAR,282,294,487,136,38,19
115,2/23/2019 9:30,64.78,0,54,0,-5.95,0,27.77,1,29.42,10.84,101.55,8.5,27.91,315,94104,RAMAGUNDAM,TELANGANA,281,282,487,137,38,20
116,2/23/2019 9:35,64.75,0,53.92,0,-6.09,0,27.78,1,29.82,10.43,101.55,8.72,36.17,315,95131,PITHORAGARH,UTTARAKHAND,274,287,487,138,37,19
117,2/23/2019 9:40,64.72,0,53.85,0,-6.23,0,27.79,1,30.22,10.02,101.55,8.95,44.44,315,94612,HIMMATNAGAR,Gujarat,265,275,487,139,38,38
118,2/23/2019 9:45,64.69,0,53.77,0,-6.36,0,27.8,1,30.54,9.84,101.55,8.94,34.1,315,94111,HIMMATNAGAR,Gujarat,265,266,487,140,38,32
119,2/23/2019 9:50,64.67,0,53.69,0,-6.5,0,27.81,1,30.86,9.65,101.55,8.94,23.76,315,94107,HIMMATNAGAR,Gujarat,220,267,812,141,38,44
120,2/23/2019 9:55,64.64,0,53.62,0,-6.64,0,27.82,1,31.27,9.33,101.56,8.9,26.58,315,94105,KOLKATA,WEST BENGAL,172,224,812,142,38,18
121,2/23/2019 10:00,64.61,0,53.54,0,-6.77,0,27.83,1,31.69,9.01,101.56,8.86,29.4,315,94105,MUMBAI,MAHARASHTRA,177,177,812,143,38,49
122,2/23/2019 10:05,64.58,0,53.46,0,-6.91,0,27.84,1,32.1,8.7,101.56,8.82,32.22,315,95814,HYDERABAD,TELANGANA,200,209,649,144,39,23
123,2/23/2019 10:10,64.56,0,53.38,0,-7.05,0,27.85,1,32.51,8.38,101.57,8.78,35.04,315,94063,"GUWAHATI, KAMRUP (M)",ASSAM,195,208,779,145,38,31
124,2/23/2019 10:15,64.53,0,53.31,0,-7.18,0,27.86,1,32.93,8.06,101.58,8.74,37.86,315,95134,"GUWAHATI, KAMRUP (M)",ASSAM,195,200,779,146,37,55
125,2/23/2019 10:20,64.5,0,53.23,0,-7.32,0,27.87,1,33.34,7.74,101.58,8.7,40.68,315,94123,KOLAR,KARNATAKA,207,211,1072,147,38,60
126,2/23/2019 10:25,64.47,0,53.15,0,-7.45,0,27.88,1,33.28,7.15,101.58,10.6,39.7,315,94568,PATIALA,PUNJAB,205,213,1072,148,38,20
127,2/23/2019 10:30,64.44,0,53.08,0,-7.59,0,27.89,1,33.23,6.56,101.59,12.51,38.71,315,94107,REWA,MADHYA PRADESH,211,211,1072,149,38,34
128,2/23/2019 10:35,64.42,0,53,0,-7.73,0,27.9,1,33.62,6.36,101.58,11.78,40.04,315,94608,BONGAIGAON,ASSAM,226,227,1072,150,38,14
129,2/23/2019 10:40,64.39,0,52.9,0,-7.86,0,27.91,1,34.01,6.17,101.58,11.06,41.38,315,94122,HYDERABAD,TELANGANA,225,234,1072,151,38,26
130,2/23/2019 10:45,64.36,0,52.79,0,-8,0,27.92,1,34.36,5.97,101.58,11.19,33.88,315,94107,BENGALURU,KARNATAKA,230,233,1072,152,38,19
131,2/23/2019 10:50,64.33,0,52.69,0,-8.14,0,27.93,1,34.71,5.77,101.58,11.32,26.37,315,94103,Chengalpattu,TAMIL NADU,244,247,1072,153,38,25
132,2/23/2019 10:55,64.31,0,52.59,0,-8.27,0,27.94,1,35.04,5.66,101.57,11.14,36.26,315,94063,PERAMBALUR,TAMIL NADU,254,254,1137,154,37,42
133,2/23/2019 11:00,64.28,0,52.49,0,-8.41,0,27.96,1,35.37,5.56,101.56,10.96,46.15,315,94105,KOLAR,KARNATAKA,251,273,1137,155,38,18
134,2/23/2019 11:05,64.25,0,52.38,0,-8.55,0,27.97,1,35.04,5.48,101.56,11.99,39.97,315,94107,BILASPUR,HIMACHAL PRADESH,227,263,1137,156,38,50
135,2/23/2019 11:10,64.22,0,52.28,0,-8.68,0,27.98,1,34.71,5.41,101.55,13.02,33.8,315,94306,CHENNAI,TAMIL NADU,221,233,1137,157,37,26
136,2/23/2019 11:15,64.19,0,52.18,0,-8.82,0,27.99,1,35.13,5.28,101.55,12.66,33.56,315,94612,VARANASI,UTTAR PRADESH,226,233,1137,158,38,47
137,2/23/2019 11:20,64.17,0,52.08,0,-8.95,0,28,1,35.55,5.14,101.55,12.29,33.33,315,94103,BENGALURU,KARNATAKA,216,226,1137,159,38,35
138,2/23/2019 11:25,64.14,0,51.97,0,-9.09,0,28.01,1,35.55,5.13,101.54,12.45,33.11,315,94105,COIMBATORE,TAMIL NADU,212,217,1137,160,38,58
139,2/23/2019 11:30,64.11,0,51.87,0,-9.23,0,28.02,1,35.55,5.12,101.54,12.61,32.88,315,94612,CHIRMIRI,CHHATTISGARH,223,226,844,161,38,20
140,2/23/2019 11:35,64.08,0,51.77,0,-9.36,0,28.03,1,36,4.88,101.54,11.92,47.21,315,94608,AZAMGARH,UTTAR PRADESH,224,237,1299,162,38,28
141,2/23/2019 11:40,64.06,0,51.67,0,-9.5,0,28.04,1,36.46,4.64,101.54,11.23,61.54,315,94105,KALYAN,MAHARASHTRA,221,228,942,163,38,12
142,2/23/2019 11:45,64.03,0,51.56,0,-9.64,0,28.05,1,36.39,4.66,101.54,11.58,46.56,315,94108,NEW DELHI,DELHI,215,228,487,164,38,20
143,2/23/2019 11:50,64,0,51.46,0,-9.77,0,28.06,1,36.33,4.69,101.53,11.92,31.58,315,94110,HYDERABAD,TELANGANA,216,217,779,165,38,22
144,2/23/2019 11:55,64.05,1,51.36,0,-9.91,0,28.07,1,36.33,4.48,101.52,12.36,32.92,315,95054,HYDERABAD,TELANGANA,223,223,1364,166,37,31
145,2/23/2019 12:00,64.1,1,51.26,0,-10.05,0,28.08,1,36.32,4.28,101.51,12.81,34.25,315,94103,GUWAHATI,ASSAM,221,228,1299,167,38,24
146,2/23/2019 12:05,64.14,1,51.15,0,-10.18,0,28.09,1,36.32,4.07,101.5,13.26,35.58,315,8765,MYSORE,KARNATAKA,217,223,617,168,38,17
147,2/23/2019 12:10,64.19,1,51.05,0,-10.32,0,28.1,1,36.31,3.86,101.49,13.7,36.92,315,94103,BARABANKI,UTTAR PRADESH,215,220,649,169,38,24
148,2/23/2019 12:15,64.24,1,50.95,0,-10.45,0,28.11,1,36.53,3.92,101.48,13.06,31.36,315,94105,AMILA,UTTAR PRADESH,218,220,779,170,38,18
149,2/23/2019 12:20,64.29,1,50.85,0,-10.59,0,28.12,1,36.76,3.97,101.47,12.43,25.81,315,94133,VIJAYAWADA,ANDHRA PRADESH,218,219,1039,171,38,48
150,2/23/2019 12:25,64.34,1,50.74,0,-10.73,0,28.13,1,37.06,3.88,101.46,11.76,42.18,315,95050,RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,221,222,454,172,37,38
